 buy.net//6028, buy.net//6201, 1.000000
 buy.net//6145, www.ilgs.net//43, 1.000000
 buy.net//6578, www.ilgs.net//11, 1.000000
 www.ilgs.net//86, buy.net//5791, 1.000000
 buy.net//6578, www.ilgs.net//77, 1.000000
 buy.net//6145, www.ilgs.net//104, 1.000000
 buy.net//6201, cammarkt.com//434, 1.000000
 buy.net//6028, cammarkt.com//434, 1.000000
 buy.net//6578, cammarkt.com//310, 1.000000
 buy.net//6578, cammarkt.com//513, 1.000000
 buy.net//6578, cammarkt.com//414, 1.000000
 www.ebay.com//43020, buy.net//6201, 1.000000
 www.ebay.com//60231, buy.net//6201, 1.000000
 www.ebay.com//43023, buy.net//6201, 1.000000
 buy.net//6201, www.ebay.com//53041, 1.000000
 buy.net//6201, www.ebay.com//24351, 1.000000
 buy.net//6201, www.ebay.com//42504, 1.000000
 buy.net//6201, www.ebay.com//55230, 1.000000
 buy.net//6201, www.ebay.com//44412, 1.000000
 buy.net//6028, www.ebay.com//43020, 1.000000
 buy.net//6201, www.ebay.com//42433, 1.000000
 buy.net//6201, www.ebay.com//57211, 1.000000
 buy.net//6201, www.ebay.com//43306, 1.000000
 buy.net//6201, www.ebay.com//25180, 1.000000
 www.ebay.com//60353, buy.net//6201, 1.000000
 buy.net//6201, www.ebay.com//54314, 1.000000
 buy.net//6201, www.ebay.com//53405, 1.000000
 buy.net//6201, www.ebay.com//53117, 1.000000
 buy.net//6201, www.ebay.com//43731, 1.000000
 buy.net//6201, www.ebay.com//44631, 1.000000
 buy.net//6201, www.ebay.com//54351, 1.000000
 buy.net//6201, www.ebay.com//48204, 1.000000
 buy.net//6201, www.ebay.com//55080, 1.000000
 buy.net//6201, www.ebay.com//53352, 1.000000
 buy.net//6028, www.ebay.com//60231, 1.000000
 buy.net//6028, www.ebay.com//43023, 1.000000
 buy.net//6201, www.ebay.com//43228, 1.000000
 www.ebay.com//45209, buy.net//6201, 1.000000
 buy.net//6028, www.ebay.com//53041, 1.000000
 buy.net//6201, www.ebay.com//44570, 1.000000
 buy.net//6201, www.ebay.com//54119, 1.000000
 buy.net//6201, www.ebay.com//56162, 1.000000
 buy.net//6201, www.ebay.com//54641, 1.000000
 www.ebay.com//45309, buy.net//6201, 1.000000
 buy.net//6201, www.ebay.com//44553, 1.000000
 buy.net//6201, www.ebay.com//52734, 1.000000
 buy.net//6201, www.ebay.com//53562, 1.000000
 buy.net//6028, www.ebay.com//24351, 1.000000
